national_park,state,trail,activity,overall_rating,comment_title,comment_ratings,comment_text
Everglades National Park,Florida (FL),Shark Valley,Biking Trails,4.5,The best place to start your Everglades adventure,5.0 of 5 bubbles,"We spent 15 min. waiting in line to enter the small car park near the visitor center. I was afraid that renting a bike would not be possible because of the queue to the park. My fears turned out to be unfounded. We easily borrowed bikes at USD 9 per hour. The whole loop took us 3 hours. Along the way, we got off the bikes many times to take a close look at alligators, turtles and countless species of birds. The feeling of freedom was fantastic, we were the masters of our time. If anyone doesn't have much time to explore the Everglades (we spent 3 days in the park), then Shark Valley is the most important place to see in addition to airboat rides."
Everglades National Park,Florida (FL),Shark Valley,Biking Trails,4.5,Abundant wildlife in Shark Valley!,5.0 of 5 bubbles,"We met up with our son at Shark Valley in Everglades National Park to visit and take a tram tour with a naturalist before sunset.  The naturalist tour guide was exceptionally well-versed on all the wildlife we saw, and the birds and alligators were particularly abundant at that hour (4-6 pm in February).  We saw numerous alligators, some with lots of tiny babies, egrets, cormorants, wood storks, herons, ibis, anhingas, osprey, purple gallinules, and even the shy roseate spoonbills...and much more!  There is a tower one can go part-way up to see long range views and a movie at the Visitor Center which explains a lot of what’s in the park.  It was a very worthwhile experience!"
Everglades National Park,Florida (FL),Shark Valley,Biking Trails,4.5,Shark Valley (gators ate all the sharks),5.0 of 5 bubbles,We did not arrive at the entrance until 11:30 and the parking was full so we had to wait for 30 mins before enough had left. Once the car parking is full they operate a one out one in policy for car parking. 
Everglades National Park,Florida (FL),Shark Valley,Biking Trails,4.5,This is the REAL Everglades,5.0 of 5 bubbles,"We are so glad that we went to Shark Valley to get the real Everglades experience. It wasn’t that far from Ft. Myers and well worth the drive. We went early on a Monday morning because it can get get crowded on weekends during the winter months. Going on the 2 hour tram ride was the highlight. Our guide Ricky and driver Taylor made sure that we had the opportunity to learn about and see as much as possible of the terrain and wildlife along the route. Ricky gave us all the important information and Taylor stopped whenever she spotted something of interest. We saw so many alligators, birds, and special plants. These two young people are knowledgeable and passionate about the Everglades and made this a great trip."
Everglades National Park,Florida (FL),Shark Valley,Biking Trails,4.5,Great place for family bike ride with the gators!,4.0 of 5 bubbles,Bike rentals were great.  The 15 miles is very doable.  Bikes were in good condition and we had no problem with them.  We did not have a reservation and arrived at 11am on a Wednesday with no problem.  There was no line at the NPS entry either. I'm sure that's often not the case during busier parts of the week.
Dry Tortugas National Park,Florida (FL),Tortugas Banks,Geologic Formations,4.5,flew over to Fort Jefferson/Dry Tortuga National Park,5.0 of 5 bubbles,"Had a wonderful 45 minute fight over to Dry tortugas!! Pricey but worth it.  We flew over from Key West Airport on Seaplane Adventures with 10 other passangers.  Saw lots of sea turtles, sharks, a couple of ship wrecks, a privately owned island, and had the best view of the Fort and surrounding area.  Highly Recommend Seaplane Adventures for a memorable time with a great pilot who did a lot of narration along with a prerecorded narration of some of the highlights of the trip.  This was through our comfortable headsets which reduced the engine sounds on the flight.  We enjoyed the snorkling by the old coal dock pilings on the north side of the island.  Saw some big fish and beautiful coral too!"
Dry Tortugas National Park,Florida (FL),Tortugas Banks,Geologic Formations,4.5,Simply fantastic,5.0 of 5 bubbles,We took the boat over to the island. A sea plane is available but of course at a significant increase in cost. The boat ride was long but actually fun as we were able to walk outside and take pictures as we were “sailing through the aqua colored water”. 
Dry Tortugas National Park,Florida (FL),Tortugas Banks,Geologic Formations,4.5,Well worth it…,4.0 of 5 bubbles,There are two ways to get out here. One is by boat and the other is by air. The boat ride is long no doubt about it but it is a part of the experience.  We watched the seaplane land and leave and quite frankly wished we had taken that option but the cost is considerably higher than the boat. 
Dry Tortugas National Park,Florida (FL),Tortugas Banks,Geologic Formations,4.5,Ft. Jefferson,2.0 of 5 bubbles,Excellent history!
Dry Tortugas National Park,Florida (FL),Tortugas Banks,Geologic Formations,4.5,Dry Tortugas - So glad we did it...,5.0 of 5 bubbles,"We chose to take the seaplane - although expensive ($245 per person) it was a few ($80) dollars more than the ferry and was only 40 minutes.  The plane ride was fantastic and kind of romantic...  The pilot's commentary was great (and appropriate).  We saw lots of turtles, sharks and wrecks on the way out and back.  How often do you get to fly over unbelievable reefs (the colors were fantastic).  Anyway, the flight was completely worth it!!!"
Dry Tortugas National Park,Florida (FL),Tortugas Banks,Geologic Formations,4.5,Best 'To See' attraction in Key West,5.0 of 5 bubbles,"So, to continue with the musings of my title... why isn't this listed in Key West attractions?  It was by far the best thing we did when based on there.  We took the plane, in the afternoon, and swallowed the price in the hopes of an unforgettable experience... the digestion was perfect.  An amazing trip... this is why you work long hours to spend your hard-earned money."
Dry Tortugas National Park,Florida (FL),Tortugas Banks,Geologic Formations,4.5,15 acres in the middle of the ocean,5.0 of 5 bubbles,"We go every year we can.    The best time is when the water is warm.   Also take your own snorkle gear and DO camp at least 2-3 nights !    Check the surf and tides.   The best time to go is when the water is warm and the seas are calm.    We camp 4-5 nights.  Its not that hard to pack all your belongings including Tent, Tarp, charcoal, drinking water and enough to bathe with.    WARNING:  if a storm comes upon you suddenly, Do NOT stay in your tent.  Go inside the Fort and take a flash light.   You can Sleep on the cannons until the storm passes.   Your tent may be wet so Take Your Blankets and Pillows out of the tent into the Fort and put anything you do NOT want to get wet inside a dry place up off the ground.  If you smoke,  take a carton of cigs,  and a Good Camera.   There is no electric, running water or showers or Flushable toilets.    ENJOY!!!  We will see you there .......(Wish they wouldnt keep raising the price on the Transportation to get to the island and the Park Fees)   Remember,  this WAS a hidden secret.  Now most everyone Knows about it.   The More people the more destruction to the reefs and corals.       Do not touch the corals or take a live shell.  Leave the shells for others to appreciate.   IF you go in the Winter,,,,,,I would Strongly Recommend a Wet Suit and warm clothes.         BonVoyAge!"
Dry Tortugas National Park,Florida (FL),Tortugas Banks,Geologic Formations,4.5,Jewel in a Turquoise Sea,5.0 of 5 bubbles,"Last March was our third camping trip out to Dry Tortugas National Park & Fort Jefferson.  Our first two trips were in 2001 and 2002.  At that time it was still not well known, except to the bird watchers, and not at all crowded.  Things have changed.  Interest in this little jewel of an island has increased over the years, though the Park Rangers do an excellent job keeping it as unspoiled as possible.  We use the park concessionaire Yankee Freedom  to get there. Stand in the bow of the boat as it flies over the waves.  It's totally exilerating!  The Yankee Freedom includes breakfast on the way to the island and lunch later on.  The trip takes about 2 1/2 to 3 hours and worth every minute.  When you first glimpse the island floating in the turquoise blue water with nothing around it for miles, it seems unreal.  As you get closer, you get your first glimpse of Fort Jefferson, formerly a Civil War Prison which housed Dr. Samuel Mudd, the doctor who attended to John Wilkes Booth's broken leg after his assassination of President Lincoln.  You can take a self-guided tour of the Fort or one led by a Park Ranger.  Snorkeling is great around the island.  Bring your own gear or Yankee Freedom will provide you with some at no extra charge.  The boat arrives at the island around 10 a.m. and leaves at 3 p.m.  That's when it gets great for campers.  The 300 plus day-people leave and the island belongs to the campers for the rest of the day and evening."
Dry Tortugas National Park,Florida (FL),Tortugas Banks,Geologic Formations,4.5,The Western End of the Florida Keys,5.0 of 5 bubbles,"This was my second visit to the Dry Tortugas.  Many folks who visit the Florida Keys are not even aware of its existance.  It is 70 miles west of Key West reachable only by boat or sea plane.  Both services are available out of Key West.  The boat trip takes about 2.5 hours, the seaplane about 30 minutes.  The main attraction is Fort Jefferson on Garden Key.  Pristine waters, good snorkeling, and abundant sea birds are a plus.  There are no accomadations in the park for visitors.  If you come by your own boat, which I do, there is an anchorage next to the Fort and a small campground for tent camping on Garden Key.  NOTHING in the way of supplies is available in the park: not a drink of water, not a candy bar, nothing.  If you're staying overnight you have to bring everything you need in and take all your waaste out.   If you come by the tour boat it furnished food and drink and bathroom facilities.  To learn more, check out the National Park website."
Dry Tortugas National Park,Florida (FL),Tortugas Banks,Geologic Formations,4.5,"The Water was Amazing, Great Snorkling!",5.0 of 5 bubbles,"A definite only I would spend all of my time in the water with the fish! The Tarpin are incredible I have snorkled many parts of the Carribbean but never have we seen such large Tarpin..They were at least 8 ft long and 200 lbs. Breathtaking! Also, in July this was the only cool and refreshing water we swam in during our visit. Skip the fort and just swim! We took a seaplane which was really fun and got a great educational tour from our pilot."
Dry Tortugas National Park,Florida (FL),Garden Key,Islands,5.0,Garden Key,5.0 of 5 bubbles,Garden Key is the largest island in Dry Tortugas National Park. (Most of the park is water.) Fort Jefferson covers most of the island.
Dry Tortugas National Park,Florida (FL),Garden Key,Islands,5.0,Great Camping Experience,5.0 of 5 bubbles,"This is was our first time camping in 13 years and we had a great time. We camped for 2 nights three days in mid-April - which was ideal as the temperature was not the hot!.  One can camp longer, but 2 nights were sufficient for us. Somethings we learned: "
Dry Tortugas National Park,Florida (FL),Garden Key,Islands,5.0,Camping on Dry Tortuga,5.0 of 5 bubbles,Took a day trip to Dry Tortuga several years ago. My daughter and I vowed to return and spend time camping and hopefully enjoy the evening sky without the light pollution of the cities. We were sure it must be amazing. It is!!!
Dry Tortugas National Park,Florida (FL),Garden Key,Islands,5.0,A few things that haven't been said and Camping here leaves peaceful respect for the minimal simple life,5.0 of 5 bubbles,"Husband and I camped, two nights, three days late October, one other camper on island, the three of us had the place to ourselves! Everything others have said, Fort, beach, sunsets, snorkeling, seclusion, fabulous. A few things that haven’t been said; Ferry has rolling carts to hull camping gear to site, one person can put stuff in cart while others go find a sight, (you can see ferry from camp ground so you never loose each other), 8 camp sites but lots of picnic tables, campsite tables are marked with numbers but it’s difficult to know what’s a campsite on your first visit, we took our time and looked at all the sights (I could see how this might be a mad rush if lots of people were camping, word of advice the morning sun will move so your sight wont be in the sun all day), the toilettes were nice, they even had electric lights (which I didn’t notice until the second night! So look for them), the ferry has lunch for sale each day if you camp, (had i known that I wouldn’t have packed food, good thing I didn’t know that - the ferry never made it back the two days we were there! Lesson learned, even though you CAN buy things like food and ice - don’t count on it.) We flew into Florida and didn’t want to buy a hard cooler, bought a cheap $6 styrofoam cooler from Win Dixi to keep ice, read about rats so brought plastic smell proof bags and limited our food to canned goods, when I saw others getting off ferry w/large plastic coolers, got worried about those rats! As luck would have it, the NPD has a small pile of coolers (left by others) at the bathroom, NICE! (grab one or two when you arrive and return when you leave) we put food in one and styrofoam cooler inside another, had ice for three days, no worries about varmints. We could see the rats moving across the open areas at night in a flash light beam but we never encountered one personally, however, it makes for an uneasy sleep to know the scurry on the other side of the tent is a 10” mouse, just saying.  The Moat Wall walk, fabulous! Walked it just before dusk, the waves were a bit active, didn’t occur to us they would hit the brick wall and come over! (Beware if the sea is active, waves are strong) we were soaked to the bone just before dark, with no fire, now you know! Had never COOKED with charcoal before, didn’t get the water hot enough to enjoy good coffee but it did a fine job on jiffy pop popcorn and cans of soup (we popped the top and sat the can directly on the grate). Took light weight sleeping bags and mats, even in late October the weather was warm we slept with no tent fly. Never opened our bug spray. Didn’t know Bush Key was open in late October, one of our best experiences, North side is a graveyard of corals, shells, and fans what a wonderful place!"
Dry Tortugas National Park,Florida (FL),Garden Key,Islands,5.0,WONDERFUL CAMPING,5.0 of 5 bubbles,"We camped here for two nights.  First off, make sure you bring all of your own supplies as they provide only toilets and TP.  Camping here was one of the most wonderful experiences I have ever had.  After the tours leave at the daytime it is just you and any other campers (which isn't much).  We were able to watch the sun set from the top of the fort, then we walked around the wall at night where we spotted bio-luminescent jellyfish and in the morning we had the beach all to ourselves.  I will warn you, there are rats but they never got into our food or tents and we actually never saw any except the dead ones (it had just flooded prior to our arrival and they drowned).  We will definitely be back as much as we can.  Don't forget the following items: tent, chairs to sit on, water, favorite drink, food, towels, bug spray, cots/pillows/blankets or sleeping bag, automatic light up logs (like the kind used in fireplaces as it can get windy and you are not allowed to bring propane over), food that does not require cooking, and ice."
Dry Tortugas National Park,Florida (FL),Garden Key,Islands,5.0,The dreamy island?,5.0 of 5 bubbles,"Upon arriving to Garden Key, are mode of transport was by sea plane. The moment I step my feet in the pearl white sand I knew I was on paridise. When on the island it seems as if rules don't matter. Apart from this feeling we have found many areas to jump off the rocks into the ocean. Around the fort is a wall with a moat in  between the path on the wall gives the effect of walking on water. Once getting in you can see perfectly clear as the water has stunning clarity. The area where you find the most sea life has gotta be by the pillars by the docks where you can swim in giant sea fans along side tarpon. The acctual fort was special because unlike most places it hardley has anything closed off and provides a panoramic view of the island and the sea. All in all this island was the highlight of are trip, and a memory that will never be lost."
Dry Tortugas National Park,Florida (FL),Garden Key,Islands,5.0,Amazing snorkeling,5.0 of 5 bubbles,"We took a day trip to Garden Key on the Yankee Freedom II (see separate review). Although tiny and hot, the attraction here is the fort (which has some neat history) and particularly the beautiful clear water and nice seaweed-free beach. We snorkeled around the moat wall and the pilings from the old coaling buildings, and saw giant tarpon and all kinds of tropical fish. Overall a really nice day and worth the trip!"
Dry Tortugas National Park,Florida (FL),Garden Key,Islands,5.0,Only Regret-not enough time there!,5.0 of 5 bubbles,"We thoroughly enjoyed our visit to Dry Tortugas National Park (We took the boat-this is a full day if you take the boat as the trip each way is about 2 1/4 hours. it leaves early in the morning and returns around 5PM. They do provide breakfast, lunch, snorkeling gear and guides for a tour of the fort. ) We had a 45 minute visit to the fort with our guide shortly after we arrived, then lunch and time for snorkeling until the boat left at 2:45PM. We snorkeled around the fort and saw a school of fish and 6 barracuda on the side of the fort where the water was in shade. My only regret is that we did not have more time to explore the entire fort. You can camp overnight-conditions are primitive-but I think the additional time to explore the entire fort and island and to check out the stars in the night sky would be worth it."
Dry Tortugas National Park,Florida (FL),Garden Key,Islands,5.0,A must for anyone vacationing in Key West,5.0 of 5 bubbles,"Garden Key is the home of Ft. Jefferson and the Dry Tortugas National Park. Multiple ways to get here: the daily Yankee Freedom cruise (who are partners with the park service), by Seaplane, or by private boat. The Yankee Freedom, cruising at 26 kts, gets you there in just under 2 1/2 hrs. "
Dry Tortugas National Park,Florida (FL),Garden Key,Islands,5.0,Great trip,5.0 of 5 bubbles,"Seeing how the Garden Key is the only one you can visit, it would have to rank a 5 if Fort Jefferson and the Tortugas Banks ranks a 5.  "
Dry Tortugas National Park,Florida (FL),Fort Jefferson,Historic Sites,4.5,Unlike any other.,5.0 of 5 bubbles,"We have been wanting to get here for years so when we got the chance we took it. We were not disappointed. It is a full day trip as it takes the ferry 2 1/2 hours to get there one way, so there is 5 hours of your day. The time at the fort is interesting. You can do the history tour, which I recommend, We planned on snorkeling, but the winds in the previous days had been strong and made the visibility cloudy. We took the rest of our time bird watching as the east side of the island is a bird sanctuary/rookery. The trip back the ferry opens the bar and we enjoyed adult beverages during the trip back. Overall this was a great trip."
Dry Tortugas National Park,Florida (FL),Fort Jefferson,Historic Sites,4.5,Perfect day trip,5.0 of 5 bubbles,"Fort Jefferson was beyond a shadow of a doubt the high point of our trip to the Florida keys. The guide who explained the place to us was fantastic, so we learned things we would not have known had we gone on our own. The place is absolutely gorgeous, although we had terrific whether that is oftentimes not the case. We highly recommend the ferry trip to see Fort Jefferson in the Dry Tortugas"
Dry Tortugas National Park,Florida (FL),Fort Jefferson,Historic Sites,4.5,Well worth the trip,5.0 of 5 bubbles,Yankee Freedom was great.  We were on one of the first full capacity trips after COVID restrictions but still had plenty of room.  Staff was great - food much better than expected.   Long but enjoyable day.  Parking tip - we parked in the public garage at $32/day as suggested on the website but walked past a sign for Conch Harbor Plaza parking lot for $15/day to get to the ship.  Worth checking before hitting the public garage
Dry Tortugas National Park,Florida (FL),Fort Jefferson,Historic Sites,4.5,Explore History ,5.0 of 5 bubbles,"We enjoyed walking through the 3 level fort located at the Dry Tortugas park and learning about its history. Beautiful views and access to beaches on several sides. We took a seaplane (instead of ferry) and would recommend it to anyone interested in taking a seaplane ride (see sunken ships, turtles)."
Dry Tortugas National Park,Florida (FL),Fort Jefferson,Historic Sites,4.5,"Visiting the Dry Tortugas, a must if you are in the area.",5.0 of 5 bubbles,Visiting the Dry Tortugas and Fort Jefferson was a highlight of our trip to Key West.
Dry Tortugas National Park,Florida (FL),Fort Jefferson,Historic Sites,4.5,Incredible Historical Structure,5.0 of 5 bubbles,I visited and toured Fort Jefferson as part of my time at Garden Key in the Dry Tortugas. The first part of my time in the fort was on the tour provided by the Yankee Freedom Ferry tour guide. He was fantastic and brought that old ruin to life! The purpose of the fort was primarily to act as a deterrent against European aggression in the region and to protect New Orleans. The fort served a number of other purposes as well including a military prison. The size of the fort is truly astonishing as it’s hard to see the other side in some locations on the parade grounds. There are some cannon along the top of the fort. I was able to wander around most of the fort on my own which a really cool experience. Definitely take at least an hour of your visit to tour the fort before snorkeling and other activities.
Dry Tortugas National Park,Florida (FL),Fort Jefferson,Historic Sites,4.5,Rough ride getting there but beautiful once there ,4.0 of 5 bubbles,"Unfortunately, our trip was cold and cloudy. The water was rough and choppy and it seemed half the ship was throwing up. We were disappointed and shocked to see that the Yankee Freedom ship was 100% packed during Covid. Absolutely no way to social distance.  Though everyone had masks, most people seemed to keep them off. Food was not good. At this price point, expected better quality food. The mixed drinks were good on our way back. The crew was good, did their best to take care of folks throwing up all over the place. At the Fort, rich history. Stunning views. Too bad it was so cold and windy to get in the water. That was a big disappointment. Other than that, highly recommend to do at least once. If you can get away with adjusting your travel for another day to avoid cold, cloudy, rainy, do it! "
Dry Tortugas National Park,Florida (FL),Fort Jefferson,Historic Sites,4.5,Fantastic experience,5.0 of 5 bubbles,"The fort is amazing!  Our tour guide was wonderful in explaining the history of the fort and how much effort it took to build it out in the middle of the Gulf of Mexico.  Just know that there are no amenities on the island.  No food, no water, no restrooms.  Come prepared."
Dry Tortugas National Park,Florida (FL),Fort Jefferson,Historic Sites,4.5,Fort Jefferson,5.0 of 5 bubbles,"Fort Jefferson is a large star for that covers most of Garden Key. The fort is three stories tall and is surrounded by a moat. Part of the fort juts out over the blue waters that surround the island. Like many forts, there are cannons and there is also a lighthouse. (Unfortunately, the lighthouse was partially disassembled for repair at the time of our visit.)"
Dry Tortugas National Park,Florida (FL),Fort Jefferson,Historic Sites,4.5,Seaplane is definitely the way to go—request Kris as your pilot—family has been twice and Kris provides lots of details!,4.0 of 5 bubbles,"Loved the Seaplane ride! Everything about it was great. Once landing you are on your own. The Fort is interesting and climbing to the top is worth it—view is a showstopper! If you like snorkeling there is a lot to see. One afternoon is a bit rushed if you want to see the whole fort & snorkel. The water is blue & you can see to the bottom in not so deep waters—fun for those not snorkeling. Beaches are rough, rocky but have sea glass and some shells. Loved it."
Denali National Park and Preserve,Alaska (AK),Eielson Visitor Center,Visitor Centers,4.5,Long school bus ride,3.0 of 5 bubbles,"If eight hours on a school bus appeals to you try this trip to the visitor center. The road is dangerous and the sights redundant. Saw 1 bear twice, on the way up and the way down. Because his is a federal sight masks must be worn for the entire bus ride. I would take the trip for an hour or two, get off and catch another bus heading down. Way to LONG!"
Denali National Park and Preserve,Alaska (AK),Eielson Visitor Center,Visitor Centers,4.5,The long bus trip was surprisingly enjoyable,5.0 of 5 bubbles,"We worried about being on the bus for a total of 8 hours, but it went by really fast.  This is a great way to see wildlife.  We saw bears, moose, caribou all up close, along with lots of other animals/birds from farther away.  Once at Eielson there are some nice day hikes to choose from."
Denali National Park and Preserve,Alaska (AK),Eielson Visitor Center,Visitor Centers,4.5,Incredible 8 hour bus tour!,5.0 of 5 bubbles,"Our bus driver was Aaron and he was interesting, well informed and entertaining. We were lucky to see 5 grizzly bears and the most incredible clear view of Denali. Definately try to hike the steep path behind the parking lot when you arrive at Eielson. We had 1 1/2 hours and we made it to the very top and back with time to spare for a picnic lunch. We saw so much wildlife and beautiful views. This was not suppose to be a tour but Aaron shared his enthusiasm and expertise about the history and animal life of Denali."
Denali National Park and Preserve,Alaska (AK),Eielson Visitor Center,Visitor Centers,4.5,Must visit!,5.0 of 5 bubbles,We were here last month.  Most of the EVC was closed except for rest rooms.  But there were rangers stationed outside answering questions.  Plenty of places to sit and enjoy a meal you may have brought along.  The views were beyond spectacular.  Denali that close is just stunning.  Gorgeous trails around the EVC if you elect to stay.    
Denali National Park and Preserve,Alaska (AK),Eielson Visitor Center,Visitor Centers,4.5,Great stopping point,4.0 of 5 bubbles,Stopped at Eielson en route via bus to Denali Backcountry Lodge. We only stayed a few minutes but the location was sweet.. incredible panorama. Best of all was seeing a grizzly climb up the slope within 300 ft of visitor center.. kick myself for not having camera ready.
Denali National Park and Preserve,Alaska (AK),Eielson Visitor Center,Visitor Centers,4.5,100% worth the four or so hour bus ride,5.0 of 5 bubbles,"If you've done any research on Denali you know that the only way to get way into the park on the park road is to take a bus.  The basic no-frills bus tour is the way to go.  While it is a school bus, the seats were comfortable enough.  I believe they made about four stops on the way there, with at least three having bathroom facilities.  If you book to Eielson you will stop there and can take any bus back.  I would take an early bus so you have as much time as you want once you get to Eielson.  The visitor center is really cool.  There is an easy short loop hike right at the center called the Tundra Loop Trail.  Across the street is another trail, Alpine Trail, that is much more strenuous as it is basically a straight up climb.  While I wanted to check out both trails, my wife and I decided we would check out the center for a bit, hike the Tundra Loop Trail, and eat our lunch and head back on the same bus we arrived on (our driver was really good)."
Denali National Park and Preserve,Alaska (AK),Eielson Visitor Center,Visitor Centers,4.5,Highlights of Denali,5.0 of 5 bubbles,"Amazing overlook view of the park. We went on a clear day, had crystal clear views of Denali in all its glory. Abundant wildlife. ALOT of bears. Great place for picnic in the Eileson Center. Exhilarating ride there and back with heartstopping views. "
Denali National Park and Preserve,Alaska (AK),Eielson Visitor Center,Visitor Centers,4.5,A Place to Glimpse the Mountain at Its Best,5.0 of 5 bubbles,"On the grounds of the visitor center, one can view the Alaska range and the Denali at their best, provided they are not obstructed by clouds and fog. To get to this place, you have to take either the park shuttle bus or the private narrated bus tours because the road is only open for such vehicles. It's a few hours ride but the time and effort will not be wasted. The surrounding area is absolutely beautiful with a number of hiking trails. However, they're closed temporarily due to the appearance of bears in the vicinity."
Denali National Park and Preserve,Alaska (AK),Eielson Visitor Center,Visitor Centers,4.5,No Need to Go Any Further,5.0 of 5 bubbles,"We go to Eielson every summer.  We have gone to Wonder Lake, in the past, but find it really isn't necessary.  Eielson is far enough and you won't see any more animals or ""mountain"" than you would by only going as far as Eielson.  The Visitor Center is also very interesting in itself...take time to look around.  Also, walk the nearby trails and take a later bus back to the WAC."
Denali National Park and Preserve,Alaska (AK),Eielson Visitor Center,Visitor Centers,4.5,long bus ride to get there,3.0 of 5 bubbles,"We went there one day in an attempt to view Mt. Denali.  It was a long, slow, bumpy bus ride which took approx. 8 hours round trip.  The visitor center is nice with interesting exhibits.  We saw moose, bears, and other wildlife on the trip, and our driver was nice and informative. We were exhausted at the end of this trip.  It was not worth it, given the fact that we didn't see the mountain.  (In fact, you couldn't even see the visitor center flag pole from the parking lot!)  However, only 10-30% of people ever get to see the mountain.  You came all this way, though, so you really have to try.  There is no food/drink available, so make sure you bring a sack or box lunch...it's a long day.  If you plan to hike, there are minimal trails from eielson.  Remember that you are truly in rough, rugged country and plan accordingly with food/drink/supplies."
Denali National Park and Preserve,Alaska (AK),Wonder Lake,Bodies of Water,4.5,Some great hiking trails - just beautiful,5.0 of 5 bubbles,"While staying at the Denali Backcountry Lodge we did a number of hikes up next to the lake and they were all just wonderful.  It is worth seeing.  If you are interested in seeing some video of the area, go to YouTube and type in ""Tour of Denali Back Country Lodge, tour Denali National Park, and flight out around Denali Mountain"" and it will bring up my video on Pat's Adventures of it and other things in Denali.  "
Denali National Park and Preserve,Alaska (AK),Wonder Lake,Bodies of Water,4.5,Go To Wonderlake and Get Away From the Park Entrance.,5.0 of 5 bubbles,"If you love to camp this is the place for you. There are about 30 tent sites with views of Mt. McKinley and Wonder Lake. It is one of the most beautiful places in the park. It is very quiet with hardly any motorized vehicles. You may also be treated to bears, moose, caribou, wolfs, beavers and other animals near the campsight. There is running water and flush toliets available too. You need take the park camperbus to get there but the trip in is great and the camper buses are usually fairly empty so you can easily look out on both sides of the bus.Take the early morning bus for best chance at great campsites.  I would highly recommend a trip to Wonder Lake but stay more than one night if you want a good chance of seeing the mountain."
Denali National Park and Preserve,Alaska (AK),Wonder Lake,Bodies of Water,4.5,Understand what you are going there for,5.0 of 5 bubbles,Do a little research. It's not just the lake--its the unbelievable view and reflection of Denali from the lake. 
Denali National Park and Preserve,Alaska (AK),Wonder Lake,Bodies of Water,4.5,If your time is limited you may want to consider the shorter tour,3.0 of 5 bubbles,"Since Denali National Park & Preserve does not have food concessions once passed the Visitors Center and not much to offer even at the Visitors Center, we packed enough food for lunch, dinner and snacks.  Our tickets were for a 9:15am park shuttle bus to Wonder Lake - an 11-hour trip with Paul as our guide/bus driver.  Cars are only allowed in Denali National Park & Preserve for the first 15 miles - after that visitors need to be on one of the park shuttle buses or private bus tours.  The exception to this are the 400 or so people who win a lottery every year and can take their private car into the park."
Denali National Park and Preserve,Alaska (AK),Wonder Lake,Bodies of Water,4.5,Wonder Lake not so Wonderful,3.0 of 5 bubbles,"There is no question that the reflection of Mt. McKinley on Wonder Lake is magnificent. It is beautiful. Unfortunately, the bus tour doesn't take you to the side of the lake where you could take that beautiful picture, even if you're lucky enough to be there on a clear day when the mountain's peak is visible. You would have to hike around the edge of the lake to get that shot, which is not feasible in the short time you are there anyway. "
Denali National Park and Preserve,Alaska (AK),Wonder Lake,Bodies of Water,4.5,Not worth the extra ride!,3.0 of 5 bubbles,Not worth the extra journey to the lake unless you are camping there! Period. 
Denali National Park and Preserve,Alaska (AK),Wonder Lake,Bodies of Water,4.5,"Wonder-lake, but mosquitos",4.0 of 5 bubbles,"Wonderlake is very beautifull. Nice campsite (about 24) and the views of mount McKinley are superb. The campsite has multiple large bearlockers, where you can store your bags etc. as well.We stayed here in July for one night. Initially we planned on 2 nights, but the mosquittos were so horrible we decided to leave early. If you are going here: pack mosquitto nets, plenty of repellant, light colored clothes and thick woven clothes. When I was home reading the reviews and advice about Wonderlake I couldn't imagine those mosquittos being so nasty, but truly, they are."
Denali National Park and Preserve,Alaska (AK),Wonder Lake,Bodies of Water,4.5,very peaceful beautiful lake,5.0 of 5 bubbles,"its a huge lake.. wonderlake is beautiful, peaceful and calm.. such a nice view with the mountain as backing..  you can even see the reflection of the sky on the surface of the lake...  "
Denali National Park and Preserve,Alaska (AK),Wonder Lake,Bodies of Water,4.5,"I ""wonder"" why I'm out here?",4.0 of 5 bubbles,"Wonder Lake is beautiful, no doubt. But it takes almost 6-7 hours to get there on the Park road from the visitor's center. Here's the something else to bear in mind for everyone new to this state: the mosquitoes OWN that lake. I mean, the own it, and they will let you know you are in their territory. Bring your mosquito nets, deet won't help you out there. You're better off just going to the Eielson Visitor Center (about 67 miles into the park). Much better views, and it's higher up on the valley so the bugs get blown away."
Denali National Park and Preserve,Alaska (AK),Wonder Lake,Bodies of Water,4.5,disappointing,2.0 of 5 bubbles,"we took the park shuttle out to wonder lake, largely based on traveller feedback on TA and other sites. it was a long long drive..and unfortunately since it was a cloudy, drizzly day, we saw nothing of mt mckinley. the lake itself is nothing very spectacular. even taking the mandatory 'we were here' photographs proved trying with  mosquitoes the size of extra terrestrial objects descending upon us from every side!"
Denali National Park and Preserve,Alaska (AK),Savage Alpine Trail,Hiking Trails,5.0,Great day hike with amazing views!,5.0 of 5 bubbles,"On a clear day, you will have an amazing view of Denali! We hiked up from the parking lot and had incredible views! We saw lots of artic squirrels and marmots. It was pretty windy at the top and we decided to go back the way we came so that we didn't have to walk back from the other trailhead. Gorgeous day hike!"
Denali National Park and Preserve,Alaska (AK),Savage Alpine Trail,Hiking Trails,5.0,Great Hike In Denali,5.0 of 5 bubbles,Hiked the trail starting from the Mountain Vista trailhead.  It was a great hike.  The hike is 100% uphill and then 100% downhill.  The Savage River end of the trail is steep.  The top of the hike was windy and chilly on the day we hiked.  We had a picnic at the top.  
Denali National Park and Preserve,Alaska (AK),Savage Alpine Trail,Hiking Trails,5.0,Beautiful view if you can catch a clear day.,5.0 of 5 bubbles,"We had out best view of the mountain from here (except for a flight tour). Got some great pictures.  If you just go up/down from the savage river parking area it is steep but is only about a mile each way so is very doable for the average person, just take your time."
