Name,Coords,Distance,Avg time,Climb,Descent,Activities,Riding Area,Difficulty Rating,Local Popularity,Altitude start,Altitude end,Grade
Especially Heinous,"(32.741160, -117.145860)","1,161 ft",00:01:38,NA,-79 ft,Mountain Bike Hike Trail Running,"Balboa Park
San Diego, California",Black Diamond rate,30 in Mountain Biking [+],287 ft,207 ft,-6.8%
Espinosa Trail,"(32.754170, -116.619580)",4.5 miles,00:41:29,"1,259 ft",-836 ft,Mountain Bike E-Bike Hike Trail Running Dirtbike/Moto,"Corral Canyon OHV Area
Campo, California",Blue rate,80 in Mountain Biking [+],"2,902 ft","3,325 ft",1.797%
Espinosa Trail,"(32.747780, -116.666640)",3.3 miles,00:43:54,"1,067 ft",-531 ft,Hike Trail Running,"Pine Creek Wilderness
Campo, California",Blue rate,95 in Hiking [+],"2,430 ft","2,966 ft",3.047%
Esplanade Trail,"(33.753380, -117.812160)",1.9 miles,00:13:07,87 ft,NA,Hike Trail Running,"Tustin
, California",Green rate,5 in Hiking [+],159 ft,246 ft,0.9%
Espola Trail,"(32.981660, -117.019030)","5,157 ft",NA,175 ft,-30 ft,Mountain Bike E-Bike Hike Trail Running,"Poway
, California",Green rate,5 in Mountain Biking [+],641 ft,787 ft,2.8%
Ess Trail,"(37.838190, -120.462850)","3,068 ft",00:04:59,11 ft,-248 ft,Mountain Bike Horse Hike Trail Running,"Red Hills
Yosemite Junction, California",Black Diamond rate,80 in Mountain Biking [+],"1,300 ft","1,063 ft",-7.7%
Essex,"(40.940120, -124.075000)",1.2 miles,00:06:30,11 ft,-92 ft,Mountain Bike E-Bike Hike Trail Running,"McKinleyville Trails
McKinleyville, California",Green rate,100 in Mountain Biking [+],267 ft,184 ft,-1.3%
Estero,"(38.032393, -122.884038)","2,031 ft",NA,37 ft,-29 ft,Hike Trail Running,"Point Reyes Station
California",Green rate,90 in Hiking [+],17 ft,24 ft,0.323%
Estero Trail,"(38.044820, -122.874180)",5.2 miles,NA,524 ft,-571 ft,Hike Horse Trail Running,"Phillip Burton Wilderness
California",Blue rate,70 in Hiking [+],62 ft,16 ft,-0.2%
Estero Trail,"(38.081550, -122.914000)",4.1 miles,00:37:29,374 ft,-510 ft,Mountain Bike Hike Trail Running,"Point Reyes Station
California",Blue rate,55 in Mountain Biking [+],156 ft,20 ft,-0.6%
Estimate of sport loop to Funhouse,"(35.548660, -117.598570)",2.0 miles,00:09:59,104 ft,-435 ft,Mountain Bike Hike Trail Running,"Ridgecrest
, California",Green rate,60 in Mountain Biking [+],"3,490 ft","3,158 ft",-3.141%
Etiwanda Ridgeline,"(34.179670, -117.528390)",3.0 miles,NA,"3,633 ft",-325 ft,Mountain Bike Hike Trail Running,"Rancho Cucamonga
, California",Black Diamond rate,5 in Mountain Biking [+],"2,696 ft","6,005 ft",21.081%
Etna Mill Creek Trail #5515,"(41.428990, -122.964970)",6.0 miles,NA,"3,536 ft","-1,184 ft",Hike Horse Trail Running,"Marble Mountain Wilderness
Etna, California",Black Diamond rate,100 in Hiking [+],"3,907 ft","6,260 ft",7.5%
eToys.com,"(37.490500, -122.177090)",748 ft,00:01:44,39 ft,NA,Mountain Bike E-Bike Hike Trail Running,"Bedwell Bayfront Park
Menlo Park, California",Green rate,70 in Mountain Biking [+],13 ft,52 ft,5.3%
Eucalyptus,"(33.759500, -117.769180)","1,657 ft",00:01:59,3 ft,-99 ft,Mountain Bike Hike Trail Running,"Peter's Canyon Regional Park
Orange, California",Blue rate,70 in Mountain Biking [+],433 ft,338 ft,-5.8%
Eucalyptus Bypass,"(32.949270, -117.173090)",735 ft,00:01:44,NA,-57 ft,Mountain Bike E-Bike Hike Trail Running,"Los Peñasquitos Canyon
San Diego, California",Blue rate,75 in Mountain Biking [+],427 ft,371 ft,-7.8%
Eucalyptus connector,"(32.826290, -116.769460)",363 ft,00:00:13,10 ft,-17 ft,Mountain Bike Hike Trail Running,"Wright's Field
Alpine, California",Blue rate,55 in Mountain Biking [+],"1,857 ft","1,849 ft",NA
Eucalyptus Crosscut,"(36.637030, -121.786080)","1,506 ft",00:01:00,NA,-22 ft,Mountain Bike Hike Trail Running,"Happy Trails
Marina, California",Green rate,45 in Mountain Biking [+],317 ft,295 ft,-1.5%
Eucalyptus Cruise,"(32.740810, -117.134780)",719 ft,00:00:35,NA,-59 ft,Mountain Bike Hike Trail Running,"Balboa Park
San Diego, California",Blue rate,80 in Mountain Biking [+],325 ft,266 ft,-8.2%
Eucalyptus Grove Tables,"(37.002830, -122.092200)",230 ft,00:00:18,NA,-3 ft,Mountain Bike Horse Hike Trail Running,"Santa Cruz
, California",Green rate,25 in Mountain Biking [+],924 ft,919 ft,-2%
Eucalyptus Loop Trail,"(37.693830, -122.436400)","4,547 ft",00:05:14,94 ft,-169 ft,Hike Trail Running,"San Bruno Mountain Park
Brisbane, California",Blue rate,65 in Hiking [+],813 ft,738 ft,-1.6%
Eucalyptus Pond,"(36.621700, -121.817190)","4,003 ft",00:02:28,126 ft,-17 ft,Mountain Bike Hike Trail Running,"Happy Trails
Marina, California",Green rate,45 in Mountain Biking [+],345 ft,453 ft,2.7%
Eucalyptus Road Trail,"(36.624940, -121.804860)","4,291 ft",00:02:18,33 ft,-55 ft,Mountain Bike Hike Trail Running,"Happy Trails
Marina, California",Green rate,80 in Mountain Biking [+],453 ft,430 ft,-0.5%
Eucalyptus South,"(36.636190, -121.782800)","4,222 ft",00:04:54,120 ft,-23 ft,Mountain Bike Hike Trail Running,"California
California",Green rate,NA,318 ft,413 ft,2.3%
Eucalyptus Trail,"(37.828660, -122.175040)","1,808 ft",00:04:49,NA,-300 ft,Hike Horse Trail Running,"Redwood Regional Park
Oakland, California",Green rate,45 in Hiking [+],"1,241 ft",941 ft,-16.604%
Eucalyptus Trail,"(33.105590, -117.294510)",1.2 miles,00:16:06,145 ft,-234 ft,Mountain Bike E-Bike Hike Trail Running,"Carlsbad
, California",Green rate,35 in Mountain Biking [+],159 ft,69 ft,-1.4%
Euchre Bar Trail #11E252,"(39.178030, -120.727490)",3.7 miles,NA,"2,140 ft",-702 ft,Hike Trail Running,"Foresthill
, California",Blue rate,5 in Hiking [+],"2,147 ft","3,586 ft",7.3%
Eureka,"(34.479010, -118.588530)","1,654 ft",00:02:21,NA,-232 ft,Mountain Bike Hike Trail Running,"Tapia Canyon
Castaic, California",Blue rate,45 in Mountain Biking [+],"1,502 ft","1,270 ft",-14%
Eureka Lake Loop,"(39.763630, -120.713050)","2,680 ft",NA,85 ft,NA,Mountain Bike Hike Trail Running,"Plumas Eureka State Park
Graeagle, California",Green rate,5 in Mountain Biking [+],"6,197 ft","6,283 ft",3.2%
Eureka Peak Loop,"(39.757000, -120.721670)",2.3 miles,NA,792 ft,-802 ft,Mountain Bike Hike Trail Running,"Plumas Eureka State Park
Graeagle, California",Blue rate,5 in Mountain Biking [+],"6,658 ft","6,647 ft",-0.1%
Eureka Peak Trail,"(34.084910, -116.376390)",5.9 miles,NA,"1,670 ft",-433 ft,Hike Trail Running,"Joshua Tree National Park
Joshua Tree, California",Blue rate,5 in Hiking [+],"3,810 ft","5,046 ft",4%
Eureka Peak Trail,"(34.032880, -116.351560)",896 ft,NA,127 ft,-47 ft,Hike Horse Trail Running,"Joshua Tree National Park
Joshua Tree, California",Blue rate,5 in Hiking [+],"5,374 ft","5,453 ft",8.8%
Eureka Peak Trail,"(39.763140, -120.714120)","3,468 ft",NA,461 ft,NA,Hike Mountain Bike Trail Running,"Plumas Eureka State Park
Graeagle, California",Blue rate,5 in Mountain Biking [+],"6,176 ft","6,637 ft",13.3%
Evelyn Lake,"(37.825510, -119.279660)",6.0 miles,NA,"1,819 ft",-632 ft,Hike Horse Trail Running,"Yosemite National Park
Yosemite, California",Blue rate,55 in Hiking [+],"8,944 ft","10,128 ft",3.7%
Evelyn Lake Trail,"(36.374830, -118.677770)",1.3 miles,NA,187 ft,-285 ft,Hike Trail Running,"Sequoia National Park
Three Rivers, California",Blue rate,5 in Hiking [+],"8,837 ft","8,737 ft",-1.5%
Evening Sky Bypass,"(34.298753, -118.680355)","4,872 ft",00:08:58,182 ft,-287 ft,Mountain Bike E-Bike Hike Trail Running,"Marr Ranch Open Space
Simi Valley, California",Blue rate,55 in Mountain Biking [+],"1,281 ft","1,176 ft",-2.168%
Everest,"(39.357040, -120.284890)",1.0 mile,00:07:06,22 ft,-504 ft,Horse Hike Trail Running,"Tahoe Donner
Truckee, California",Blue rate,5 in Horseback [+],"7,564 ft","7,083 ft",-8.8%
Evergreen Crossing,"(37.312280, -121.726490)",1.9 miles,NA,424 ft,-50 ft,Mountain Bike E-Bike Horse Hike Trail Running,"Joseph D. Grant County Park
San Jose, California",Blue rate,5 in Mountain Biking [+],"1,774 ft","2,149 ft",3.8%
Evolution,"(34.287230, -118.636480)",1.4 miles,00:19:57,161 ft,-583 ft,Mountain Bike E-Bike Hike Trail Running,"Santa Susana Pass State Historic Park
Simi Valley, California",Blue rate,30 in Mountain Biking [+],"2,261 ft","1,841 ft",-5.7%
Evolution Creek Alternate Crossing,"(37.195610, -118.781740)","2,986 ft",NA,35 ft,-12 ft,Hike Trail Running,"Kings Canyon National Park
Independence, California",Green rate,5 in Hiking [+],"9,211 ft","9,236 ft",0.8%
Ewoldsen Trail,"(36.168120, -121.665730)","4,770 ft",NA,63 ft,-651 ft,"Hike Trail Running
Mountain Biking not recommended or allowed.","Julia Pfeiffer Burns State Park
California",Blue rate,NA,829 ft,240 ft,-12.3%
Ewoldsen Trail Loop,"(36.168110, -121.665720)",2.1 miles,NA,956 ft,-925 ft,"Hike Trail Running
Mountain Biking not recommended or allowed.","Julia Pfeiffer Burns State Park
California",Blue rate,NA,829 ft,860 ft,0.3%
Ex Presidents,"(38.245930, -120.378440)","3,530 ft",00:09:28,198 ft,NA,Mountain Bike E-Bike Horse Hike Trail Running,"Arnold Rim Trail System
Arnold, California",Blue rate,75 in Mountain Biking [+],"3,969 ft","4,170 ft",5.7%
Excavator,"(34.143360, -117.634930)",748 ft,00:00:53,NA,-22 ft,Mountain Bike Hike Trail Running,"Rancho Cucamonga
, California",Blue rate,50 in Mountain Biking [+],"1,791 ft","1,772 ft",-2.8%
Excelsior Trail28,"(39.306210, -120.766260)",12.2 miles,01:34:07,"1,168 ft","-1,168 ft",Dirtbike/Moto Mountain Bike E-Bike Horse Hike Trail Running,"Burlington Motorcyle Trail System
Nevada City, California",Blue rate,35 in Mountain Biking [+],"4,977 ft","4,977 ft",-0%
Excelsior / Prague Connector,"(37.722240, -122.424550)",23 ft,NA,NA,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,5 in Mountain Biking [+],436 ft,436 ft,NA
Excelsior Ave Access,"(37.722250, -122.425250)",505 ft,00:00:38,25 ft,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,50 in Mountain Biking [+],424 ft,449 ft,4.9%
Excelsior Drop To Hoyt's,"(39.297150, -121.062570)",1.5 miles,00:08:47,NA,-992 ft,Mountain Bike E-Bike Hike Trail Running Dirtbike/Moto,"South Yuba River State Park
Nevada City, California",Blue rate,50 in Mountain Biking [+],"2,291 ft","1,299 ft",-12.2%
Exhibtionist,"(37.621450, -121.744370)",771 ft,00:00:32,NA,-135 ft,Mountain Bike Hike Trail Running,"Sycamore Grove Park
Livermore, California",Blue rate,70 in Mountain Biking [+],743 ft,607 ft,-17.4%
Expert,"(34.159100, -117.727570)","2,884 ft",NA,599 ft,NA,Mountain Bike Hike Trail Running,"Claremont
, California",Green rate,70 in Mountain Biking [+],"2,321 ft","2,920 ft",20.8%
Expert,"(34.160800, -117.719930)","3,383 ft",NA,"1,071 ft",NA,Mountain Bike Hike Trail Running,"San Dimas
, California",Double Black Diamond rate,10 in Mountain Biking [+],"2,457 ft","3,527 ft",31.6%
Expert,"(34.145510, -117.710870)","4,879 ft",NA,577 ft,NA,Mountain Bike E-Bike Horse Hike Trail Running Dirtbike/Moto Observed Trials ATV/ORV/OHV Snowmobile Snowshoe Downhill Ski Backcountry Ski Nordic Ski,"Claremont
, California",Blue rate,5 in Mountain Biking [+],"1,750 ft","2,326 ft",11.8%
Exploration Trail,"(33.529380, -117.649760)","3,289 ft",00:03:30,64 ft,-56 ft,Mountain Bike Hike Trail Running,"O'Neill Regional Park
Mission Viejo, California",Green rate,45 in Mountain Biking [+],306 ft,314 ft,0.24%
Extra Credit,"(34.109592, -116.274256)","1,368 ft",00:02:38,39 ft,-14 ft,Mountain Bike Hike Trail Running,"Desert View Conservation Area
Joshua Tree, California",Green rate,60 in Mountain Biking [+],"3,336 ft","3,361 ft",1.863%
Extra Credit 2,"(33.568600, -117.757350)","1,168 ft",00:01:44,61 ft,-41 ft,Mountain Bike Hike Trail Running,"Aliso and Wood Canyons Wilderness Park
Aliso Viejo, California",Blue rate,75 in Mountain Biking [+],738 ft,758 ft,1.741%
Extra Head Start,"(34.316710, -118.675550)",617 ft,00:04:24,86 ft,NA,Mountain Bike E-Bike Horse Hike Trail Running Dirtbike/Moto ATV/ORV/OHV,"Marr Ranch Open Space
Simi Valley, California",Green rate,50 in Mountain Biking [+],"1,863 ft","1,949 ft",14%
Extra Loop,"(37.412950, -121.997760)",876 ft,00:01:53,NA,NA,Mountain Bike E-Bike Hike Trail Running,"Sunnyvale
, California",Green rate,50 in Mountain Biking [+],4 ft,3 ft,-0.1%
EZ Up,"(40.449400, -120.663470)",1.4 miles,00:18:18,430 ft,-26 ft,Mountain Bike Hike Trail Running,"Susanville Ranch Park
Susanville, California",Blue rate,90 in Mountain Biking [+],"4,936 ft","5,341 ft",5.7%
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Face,"(36.456300, -118.844040)","4,892 ft",00:10:11,NA,-695 ft,Mountain Bike Hike Trail Running,"Case Mountain
Three Rivers, California",Black Diamond rate,85 in Mountain Biking [+],"3,208 ft","2,513 ft",-14.2%
Face Of Prado,"(34.028750, -117.241630)",8.4 miles,NA,NA,-112 ft,Mountain Bike Hike Trail Running,"South Hills Preserve
Loma Linda, California",Black Diamond rate,5 in Mountain Biking [+],"1,816 ft","1,703 ft",-0.3%
Face Planter,"(39.783930, -120.608590)",108 ft,NA,NA,-17 ft,Mountain Bike E-Bike Hike Trail Running,"Everstoke
Blairsden, California",Double Black Diamond rate,5 in Mountain Biking [+],"4,698 ft","4,682 ft",-15.7%
Faery Falls 4W25C,"(41.261980, -122.334020)",407 ft,00:07:20,6 ft,-3 ft,Hike Mountain Bike Horse Trail Running,"Mount Shasta Area Trails
Mount Shasta, California",Blue rate,5 in Mountain Biking [+],"3,234 ft","3,238 ft",1.1%
Fair Oaks,"(34.396450, -118.438320)",2.3 miles,00:15:44,231 ft,-779 ft,Mountain Bike E-Bike Hike Trail Running,"East Walker Ranch
Santa Clarita, California",Blue rate,80 in Mountain Biking [+],"2,097 ft","1,549 ft",-4.5%
Fairbanks Horse Trail,"(33.011260, -117.192310)",1.1 miles,00:12:55,23 ft,-15 ft,Mountain Bike Hike Trail Running,"Del Mar
California",Green rate,NA,45 ft,52 ft,0.2%
Fairfield Grade,"(37.138500, -121.222040)",1.7 miles,NA,161 ft,-287 ft,Mountain Bike Horse Hike Trail Running,"Henry W. Coe State Park
Morgan Hill, California",Blue rate,5 in Mountain Biking [+],"1,649 ft","1,522 ft",-1.4%
Fairfield Road,"(37.066500, -121.219140)",7.8 miles,NA,"1,115 ft",-606 ft,Mountain Bike Horse Hike Trail Running,"Henry W. Coe State Park
Morgan Hill, California",Blue rate,5 in Mountain Biking [+],"1,373 ft","1,883 ft",1.2%
Fairmount Park,"(33.990866, -117.391021)","3,473 ft",00:02:34,54 ft,-41 ft,Mountain Bike Hike Trail Running,"Riverside
, California",White rate,75 in Mountain Biking [+],789 ft,803 ft,0.386%
Fairview,"(34.165061, -118.843217)","2,533 ft",00:05:39,222 ft,-17 ft,Mountain Bike Hike Trail Running,"Westlake Village
California",Blue rate,65 in Mountain Biking [+],"1,138 ft","1,342 ft",8.1%
Fairview Alt,"(34.163040, -118.843660)","1,194 ft",00:01:17,NA,-118 ft,Mountain Bike E-Bike Hike Trail Running,"Los Robles
Newbury Park, California",Blue rate,55 in Mountain Biking [+],"1,209 ft","1,089 ft",-9.9%
Fairy Gates DH,"(37.758910, -122.454090)",702 ft,00:01:30,NA,-155 ft,Mountain Bike E-Bike Hike Trail Running,"Mount Sutro Open Space Reserve
San Francisco, California",Double Black Diamond rate,80 in Mountain Biking [+],705 ft,551 ft,-22.1%
Fairy Gates Trail,"(37.758930, -122.454180)",879 ft,00:01:19,NA,-15 ft,Mountain Bike Hike Trail Running,"Mount Sutro Open Space Reserve
San Francisco, California",Blue rate,95 in Mountain Biking [+],714 ft,699 ft,-1.8%
Falcon,"(34.295320, -118.752170)","2,733 ft",00:03:53,7 ft,-233 ft,Mountain Bike Hike Trail Running,"Wood Ranch/Lang Ranch
Simi Valley, California",Blue rate,5 in Mountain Biking [+],"1,353 ft","1,129 ft",-8.3%
Falcon Talon Cut,"(37.878010, -121.973430)",846 ft,00:00:49,NA,-20 ft,Mountain Bike Hike Trail Running,"Shell Ridge Open Space
Walnut Creek, California",Blue rate,60 in Mountain Biking [+],854 ft,833 ft,-2.6%
Falcon Trail,"(35.329970, -120.451170)",5.8 miles,02:24:54,"1,443 ft","-1,426 ft",Mountain Bike Horse Hike Trail Running,"Santa Margarita
, California",Black Diamond rate,80 in Mountain Biking [+],"1,320 ft","1,339 ft",0.1%
Fall Canyon Trail,"(36.822000, -117.174060)",3.1 miles,NA,"1,326 ft",-17 ft,Hike,"Death Valley National Park
Lone Pine, California",Blue rate,90 in Hiking,955 ft,"2,264 ft",7.9%
Fall Creek North Fork Trail,"(37.056530, -122.092610)",2.0 miles,NA,647 ft,-12 ft,Hike Trail Running,"Henry Cowell Redwoods State Park - Fall Creek Unit
California",Green rate,NA,582 ft,"1,217 ft",5.9%
Fall Creek South Fork Trail,"(37.056530, -122.092610)","1,732 ft",00:07:33,135 ft,NA,Hike Horse Trail Running,"Henry Cowell Redwoods State Park - Fall Creek Unit
California",Green rate,NA,584 ft,719 ft,7.8%
Fall Creek Trail,"(37.051260, -122.085460)","3,320 ft",00:18:18,172 ft,-19 ft,Hike Trail Running,"Henry Cowell Redwoods State Park - Fall Creek Unit
Felton, California",Green rate,NA,425 ft,581 ft,4.7%
Fall Line,"(34.223280, -116.882070)",2.0 miles,00:14:28,17 ft,-807 ft,Mountain Bike Hike Trail Running,"South Big Bear Lake
Big Bear, California",Black Diamond rate,100 in Mountain Biking [+],"7,946 ft","7,156 ft",-7.4%
Fall(line) Out Boy: Dance Dance!,"(32.741180, -117.145700)",591 ft,00:00:39,NA,-75 ft,Mountain Bike Hike Trail Running,"Balboa Park
San Diego, California",Blue rate,25 in Mountain Biking [+],278 ft,203 ft,-12.6%
Fall-Line,"(38.580530, -122.423150)","2,290 ft",00:06:06,NA,-218 ft,Mountain Bike E-Bike Hike Trail Running,"Pacific Union College Forest
Angwin, California",Black Diamond rate,65 in Mountain Biking [+],"1,860 ft","1,644 ft",-9.5%
Fallen Leaf Rd Connector,"(38.907630, -120.049580)","1,736 ft",00:03:25,97 ft,-2 ft,Mountain Bike Horse Hike Trail Running,"Fallen Leaf
South Lake Tahoe, California",Green rate,65 in Mountain Biking [+],"6,418 ft","6,512 ft",5.463%
Fallen Tree,"(37.899810, -122.018490)","1,033 ft",00:01:42,NA,-76 ft,Mountain Bike Hike Trail Running,"Shell Ridge Open Space
Walnut Creek, California",Blue rate,35 in Mountain Biking [+],464 ft,387 ft,-7.4%
Falling Squirrel trail,"(33.498060, -117.069440)","3,566 ft",00:05:01,77 ft,-83 ft,Mountain Bike Hike Trail Running,"Temecula
, California",Green rate,10 in Mountain Biking [+],"1,164 ft","1,158 ft",-0.2%
Falls Away,"(38.256440, -120.386640)","1,900 ft",00:16:39,30 ft,-97 ft,Mountain Bike Hike Trail Running,"Arnold Rim Trail System
Arnold, California",Black Diamond rate,75 in Mountain Biking [+],"3,953 ft","3,885 ft",-3.5%
Falls Canyon Trail,"(33.674170, -117.536400)","2,205 ft",NA,267 ft,NA,Hike Trail Running,"Trabuco Canyon
, California",Blue rate,100 in Hiking [+],"1,461 ft","1,729 ft",12.1%
Falls Creek,"(38.252142, -120.382605)","3,196 ft",00:06:39,69 ft,-390 ft,Mountain Bike Hike Trail Running,"Arnold
, California",Black Diamond rate,65 in Mountain Biking [+],"3,951 ft","3,629 ft",-10.055%
Falls Creek Trail,"(34.101100, -116.910540)",6.3 miles,04:39:00,"3,044 ft",-356 ft,Hike Trail Running,"San Gorgonio Wildernes
Forest falls, California",Blue rate,100 in Hiking [+],"7,258 ft","9,944 ft",8%
Falls Loop,"(39.327210, -123.770975)",1.4 miles,00:22:45,411 ft,-209 ft,Hike Trail Running,"Russian Gulch State Park
Mendocino, California",Green rate,100 in Hiking [+],292 ft,494 ft,2.674%
Falls Loop,"(41.010860, -121.652690)","4,777 ft",NA,171 ft,-188 ft,Hike Horse Trail Running,"McArthur-Burney Falls Memorial State Park
Burney, California",Green rate,100 in Hiking [+],"2,937 ft","2,920 ft",-0.4%
Falls Loop Access,"(41.010700, -121.653850)","1,598 ft",00:04:47,19 ft,-55 ft,Hike Horse Trail Running,"McArthur-Burney Falls Memorial State Park
Burney, California",Green rate,80 in Hiking [+],"2,967 ft","2,930 ft",-2.3%
Falls Loop Trail North,"(39.327210, -123.770980)","4,026 ft",00:21:54,185 ft,-34 ft,Hike Trail Running,"Russian Gulch State Park
Mendocino, California",Green rate,100 in Hiking [+],152 ft,302 ft,3.7%
Falls Road,"(38.558480, -122.447830)","3,199 ft",00:02:39,44 ft,-20 ft,Mountain Bike Hike Trail Running,"Angwin
, California",Green rate,35 in Mountain Biking [+],"1,516 ft","1,542 ft",0.8%
Falls Trail,"(37.899460, -121.917410)",1.1 miles,NA,312 ft,-383 ft,Hike Trail Running,"Mount Diablo State Park
Danville, California",Black Diamond rate,95 in Hiking [+],"1,465 ft","1,394 ft",-1.2%
Falls Trail,"(34.176590, -117.989640)","3,852 ft",NA,337 ft,-3 ft,Hike Mountain Bike Trail Running,"Azusa
, California",Green rate,NA,"1,341 ft","1,677 ft",8.7%
Falls View Trail,"(37.747690, -119.592990)",325 ft,00:01:55,NA,NA,Hike Trail Running,"Yosemite
, California",White rate,95 in Hiking [+],"3,966 ft","3,967 ft",0.1%
False Ravine Trail,"(38.771005, -121.225908)",1.5 miles,00:05:48,34 ft,-181 ft,Mountain Bike Hike Trail Running,"Granite Bay
Folsom, California",White rate,45 in Mountain Biking [+],346 ft,200 ft,-1.8%
Fan Canyon View,"(33.950760, -116.219870)","1,335 ft",NA,40 ft,NA,Hike Trail Running,"Joshua Tree National Park
Joshua Tree, California",Green rate,70 in Hiking [+],"4,802 ft","4,843 ft",3.1%
Fantasy Forest,"(34.233570, -117.168710)",948 ft,00:05:12,66 ft,NA,Mountain Bike E-Bike Hike,"SkyPark at Santa's Village
Skyforest, California",Green rate,100 in Mountain Biking [+],"5,680 ft","5,748 ft",7%
Farewell Gap - Franklin Lakes Trail,"(36.446980, -118.594170)",3.4 miles,NA,"1,469 ft",-4 ft,Hike Trail Running,"Sequoia National Park
Three Rivers, California",Blue rate,5 in Hiking [+],"7,859 ft","9,324 ft",8.3%
Farewell Gap Trail,"(36.417470, -118.576840)",2.6 miles,NA,"1,305 ft",-24 ft,Hike Trail Running,"John Krebs Wilderness
Visalia, California",Blue rate,5 in Hiking [+],"9,346 ft","10,627 ft",9.2%
Fargo Downhill,"(37.851750, -120.458720)",1.3 miles,00:05:34,215 ft,-72 ft,Mountain Bike Hike Trail Running,"Red Hills
Yosemite Junction, California",Blue rate,30 in Mountain Biking [+],"1,161 ft","1,302 ft",2%
Fargo Loop,"(37.860520, -120.465070)",1.6 miles,00:08:54,150 ft,-106 ft,Mountain Bike Horse Hike Trail Running,"Red Hills
Yosemite Junction, California",Green rate,75 in Mountain Biking [+],"1,161 ft","1,204 ft",0.5%
Farm Bypass Trail,"(37.331470, -122.100880)","1,270 ft",NA,NA,-93 ft,Hike,"Rancho San Antonio Open Space Preserve
Los Altos, California",Green rate,80 in Hiking,473 ft,381 ft,-7.3%
Farmer John's Overlook,"(34.609630, -118.223490)","1,660 ft",00:02:27,31 ft,-49 ft,Mountain Bike E-Bike Hike Trail Running,"P-12 (Rancho, aka Antelope Valley Trails)
Palmdale, California",Green rate,60 in Mountain Biking [+],"3,343 ft","3,323 ft",-1.1%
Farmer's Daughter,"(37.527870, -122.490820)",1.2 miles,00:08:27,33 ft,-321 ft,Horse Mountain Bike Hike Trail Running,"El Granada
, California",Blue rate,20 in Mountain Biking [+],471 ft,180 ft,-4.7%
Farmer's Ridge,"(34.129450, -118.530690)","2,365 ft",00:04:15,43 ft,-38 ft,Mountain Bike E-Bike Hike Trail Running,"Topanga State Park
Santa Monica, California",Green rate,100 in Mountain Biking [+],"1,919 ft","1,926 ft",0.2%
Farrington Road,"(38.331290, -122.003010)",823 ft,00:00:50,NA,-98 ft,Mountain Bike E-Bike Hike Trail Running,"Lagoon Valley Park
Vacaville, California",Blue rate,60 in Mountain Biking [+],429 ft,331 ft,-11.9%
Farside,"(33.954440, -117.320890)",2.9 miles,00:31:00,672 ft,-370 ft,Mountain Bike Hike Trail Running,"Sycamore Canyon
Riverside, California",Blue rate,25 in Mountain Biking [+],"1,190 ft","1,492 ft",1.962%
Fascination Spring Trail,"(34.288370, -118.323950)",1.3 miles,NA,"1,095 ft",NA,Hike Mountain Bike Trail Running,"Tujunga
, California",Blue rate,5 in Mountain Biking [+],"1,874 ft","2,969 ft",15.7%
Fast Eddies,"(39.206290, -120.178560)","4,245 ft",00:06:18,NA,-289 ft,Mountain Bike Hike Trail Running,"Painted Rock
Tahoe City, California",Black Diamond rate,70 in Mountain Biking [+],"7,257 ft","6,965 ft",-6.8%
Father Crowley Vista,"(36.351810, -117.550420)","3,064 ft",NA,NA,-59 ft,"Hike Trail Running
Mountain Biking not recommended or allowed.","Death Valley National Park
Lone Pine, California",White rate,NA,"4,270 ft","4,213 ft",-1.9%
Fault Line Trail,"(38.573630, -123.294950)",1.1 miles,00:16:00,318 ft,-100 ft,Mountain Bike Horse Hike Trail Running,"Salt Point State Park
Fort Ross, California",Blue rate,30 in Mountain Biking [+],873 ft,"1,093 ft",4%
Fault Lines,"(35.571740, -117.660550)","4,410 ft",00:09:12,252 ft,-187 ft,Mountain Bike Hike Trail Running,"El Paso Mountains
Ridgecrest, California",Black Diamond rate,20 in Mountain Biking [+],"2,683 ft","2,747 ft",1.466%
Fault View,"(34.021290, -117.244420)","3,222 ft",00:07:07,66 ft,-409 ft,Mountain Bike Hike Trail Running,"South Hills Preserve
Loma Linda, California",Black Diamond rate,25 in Mountain Biking [+],"1,942 ft","1,599 ft",-10.642%
Fault View Singletrack Access Trail,"(34.020700, -117.247540)",464 ft,00:01:08,10 ft,-19 ft,Mountain Bike Hike Trail Running,"South Hills Preserve
Loma Linda, California",Blue rate,5 in Mountain Biking [+],"1,883 ft","1,875 ft",-1.769%
Fault View Singletrack Loop,"(34.021320, -117.248800)",1.2 miles,00:42:50,358 ft,-359 ft,Mountain Bike Hike Trail Running,"South Hills Preserve
Loma Linda, California",Black Diamond rate,5 in Mountain Biking [+],"1,874 ft","1,873 ft",-0.015%
Faultline Trail,"(33.930021, -117.728478)","4,857 ft",00:03:52,17 ft,-498 ft,Mountain Bike Hike Trail Running,"Chino Hills State Park
Chino, California",Blue rate,70 in Mountain Biking [+],"1,332 ft",852 ft,-9.872%
Fawn Lilly,"(39.458380, -123.393970)",1.1 miles,00:07:34,77 ft,-328 ft,Mountain Bike Hike Trail Running,"Brooktrails Greenbelt
Willits, California",Green rate,45 in Mountain Biking [+],"1,811 ft","1,562 ft",-4.2%
